frame,time_ns,n_direct_hbonds,n_water_mediated,salt_bridge_dist,salt_bridge_angle,salt_bridge_hbond
0,0.0,65,2,2.916,150.5,True
1,0.1,60,0,2.824,167.9,True
2,0.2,66,3,3.021,146.9,True
3,0.30000000000000004,72,2,3.118,151.5,True
4,0.4,62,1,3.234,177.9,True
5,0.5,68,1,3.035,143.8,True
6,0.6000000000000001,67,1,2.9,171.0,True
7,0.7000000000000001,51,3,2.948,145.4,True
8,0.8,53,1,2.989,163.6,True
9,0.9,64,2,3.107,156.2,True
10,1.0,69,2,2.73,159.6,True
11,1.1,74,3,2.902,156.5,True
12,1.2000000000000002,60,1,2.861,164.5,True
13,1.3,70,0,3.064,153.6,True
14,1.4000000000000001,64,2,2.777,159.9,True
15,1.5,57,0,3.091,153.1,True
16,1.6,54,2,2.801,159.0,True
17,1.7000000000000002,68,2,3.009,110.0,False
18,1.8,71,3,2.806,154.5,True
19,1.9000000000000001,59,1,2.867,160.4,True
20,2.0,51,0,3.072,151.8,True
21,2.1,43,1,3.083,136.9,True
22,2.2,53,3,2.96,160.0,True
23,2.3000000000000003,57,3,2.783,176.5,True
24,2.4000000000000004,48,2,2.792,170.9,True
25,2.5,62,1,3.028,152.0,True
26,2.6,52,2,2.911,138.7,True
27,2.7,48,1,2.815,159.3,True
28,2.8000000000000003,50,1,2.721,160.1,True
29,2.9000000000000004,63,1,2.885,168.5,True
30,3.0,48,1,2.913,157.1,True
31,3.1,46,1,2.696,150.6,True
32,3.2,49,0,2.654,159.9,True
33,3.3000000000000003,48,1,2.731,151.7,True
34,3.4000000000000004,50,2,2.892,167.4,True
35,3.5,46,1,2.749,163.4,True
36,3.6,59,0,2.774,167.4,True
37,3.7,57,1,2.891,148.7,True
38,3.8000000000000003,44,1,2.697,165.1,True
39,3.9000000000000004,44,1,2.805,160.1,True
40,4.0,54,1,2.886,157.7,True
41,4.1000000000000005,55,2,2.74,163.3,True
42,4.2,54,2,2.955,160.9,True
43,4.3,55,0,3.072,140.2,True
44,4.4,50,2,2.859,140.9,True
45,4.5,53,1,2.954,158.9,True
46,4.6000000000000005,44,1,2.638,157.6,True
47,4.7,48,0,2.79,165.4,True
48,4.800000000000001,41,1,2.842,171.1,True
49,4.9,55,1,2.716,166.6,True
50,5.0,45,1,2.934,168.6,True
51,5.1000000000000005,52,0,2.766,158.3,True
52,5.2,45,0,2.769,160.2,True
53,5.300000000000001,52,1,2.904,172.1,True
54,5.4,60,0,2.75,158.8,True
55,5.5,56,0,2.863,158.0,True
56,5.6000000000000005,49,2,2.821,174.6,True
57,5.7,47,1,2.776,172.1,True
58,5.800000000000001,45,1,2.758,158.4,True
59,5.9,50,0,2.951,148.8,True
60,6.0,51,0,2.708,158.0,True
61,6.1000000000000005,52,1,2.95,155.3,True
62,6.2,40,2,2.677,164.0,True
63,6.300000000000001,50,2,2.999,176.2,True
64,6.4,40,1,2.762,153.7,True
65,6.5,45,1,2.733,174.3,True
66,6.6000000000000005,52,1,2.941,137.5,True
67,6.7,47,0,2.881,149.9,True
68,6.800000000000001,56,1,2.958,154.9,True
69,6.9,53,1,2.675,169.2,True
70,7.0,53,1,2.99,166.3,True
71,7.1000000000000005,48,2,2.622,148.3,True
72,7.2,52,0,2.784,178.2,True
73,7.300000000000001,54,0,2.889,164.4,True
74,7.4,49,1,2.83,172.7,True
75,7.5,50,0,2.949,166.4,True
76,7.6000000000000005,48,2,2.957,163.0,True
77,7.7,55,0,2.84,162.6,True
78,7.800000000000001,57,2,2.844,138.6,True
79,7.9,59,1,2.705,172.6,True
80,8.0,55,3,2.85,155.5,True
81,8.1,53,2,2.803,150.6,True
82,8.200000000000001,52,1,2.862,143.7,True
83,8.3,54,2,2.943,164.2,True
84,8.4,51,1,2.677,169.0,True
85,8.5,50,0,2.844,175.9,True
86,8.6,53,1,2.83,149.8,True
87,8.700000000000001,52,1,2.917,172.9,True
88,8.8,45,2,2.95,152.3,True
89,8.9,41,0,2.839,173.5,True
90,9.0,58,2,2.776,170.5,True
91,9.1,48,0,2.754,166.9,True
92,9.200000000000001,44,1,2.69,172.7,True
93,9.3,45,2,2.814,167.4,True
94,9.4,51,1,2.614,172.0,True
95,9.5,56,1,3.01,142.4,True
96,9.600000000000001,48,2,2.962,165.0,True
97,9.700000000000001,46,1,2.856,150.9,True
98,9.8,48,1,2.776,170.3,True
99,9.9,48,2,2.855,173.9,True
